gbifID,spCode,FW_avg,HW_avg,references,eventDate,lat,lon,Temp,Prec,elevation,latlon,stateProvince
1586032448,G_lygdamus,14.59821429,11.60714286,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147551,1973-04-16T00:00:00,36.436148,-121.71205,12.8,656,181,36.436148 -121.71205,California
1586032449,G_lygdamus,13.66071429,10.84821429,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147418,1977-05-06T00:00:00,42.529199,-85.855303,8.5,949,201,42.529199 -85.855303,Michigan
1586032450,G_lygdamus,12.36607143,9.955357143,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147559,1973-04-16T00:00:00,36.436148,-121.71205,12.8,656,181,36.436148 -121.71205,California
1586032451,G_lygdamus,15.40178571,12.09821429,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147542,1981-05-01T00:00:00,38.896565,-121.07689,15.5,864,378,38.896565 -121.07689,California
1586160784,G_lygdamus,14.55357143,12.32142857,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147115,1987-04-01T00:00:00,33.7845,-117.3692,16,506,652,33.7845 -117.3692,California
1586160785,G_lygdamus,15.3125,12.00892857,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147116,1983-04-01T00:00:00,33.7845,-117.3692,16,506,652,33.7845 -117.3692,California
1586160788,G_lygdamus,16.33928571,13.30357143,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147465,1970-03-21T00:00:00,36.488852,-121.17404,14,463,400,36.488852 -121.17404,California
1586160789,G_lygdamus,14.55357143,12.72321429,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147440,1976-03-05T00:00:00,37.924092,-122.38914,14.6,696,30,37.924092 -122.38914,California
1586160790,G_lygdamus,16.78571429,13.92857143,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147468,1973-03-09T00:00:00,38.381299,-122.0383,15.6,635,109,38.381299 -122.0383,California
1586160791,G_lygdamus,16.16071429,13.25892857,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147480,1979-04-11T00:00:00,33.767167,-118.39388,17,388,283,33.767167 -118.39388,California
1586160792,G_lygdamus,15.08928571,11.875,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147464,1970-03-21T00:00:00,36.488852,-121.17404,14,463,400,36.488852 -121.17404,California
1586160793,G_lygdamus,15.49107143,12.67857143,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147462,1970-03-21T00:00:00,36.488852,-121.17404,14,463,400,36.488852 -121.17404,California
